Season_Type,Opening_Date,Closing_Date,Notes
Archery & Crossbow,"September 27, 2025","December 31, 2025",Nicholas County: Open to antlerless (both base license and Class N/NN stamps)
Buck Firearms,"November 24, 2025","December 7, 2025",Nicholas County: Open to antlerless (both base license and Class N/NN stamps)
Muzzleloader,"December 15, 2025","December 21, 2025",Nicholas County: 7 days antlerless for base license and RM/RRM stamps
Antlerless (Multiple Dates),"October 23, 2025","October 26, 2025",Archery/Firearms combined
Antlerless (Multiple Dates),"November 24, 2025","December 7, 2025",Archery/Firearms combined
Antlerless (Multiple Dates),"December 11, 2025","December 14, 2025",Archery/Firearms combined
Antlerless (Multiple Dates),"December 28, 2025","December 31, 2025",Archery/Firearms combined
Youth/Class Q/Class XS Antlerless,"October 18, 2025","October 19, 2025",Youth hunters only
Youth/Class Q/Class XS Antlerless,"December 26, 2025","December 27, 2025",Youth hunters only
Mountaineer Heritage Season,"January 8, 2026","January 11, 2026","Percussion side lock, flintlock, long bow, or recurve bow only"
