Species,Present_on_WMA,Notes
White-tailed Deer,Yes,Primary hunting opportunity; abundant population
Wild Turkey (Spring),Yes,"April 20 - May 24, 2026; bearded birds only"
Wild Turkey (Fall),Yes (Possibly),"October 11-19, 2025 (check county for extended seasons)"
Black Bear,NOT available in 2025,REMOVED FROM NICHOLAS COUNTY in 2025 - not available on Summersville Lake WMA
Ruffed Grouse,Yes,"October 18 - February 28, 2025-2026; 4 daily bag limit"
"Squirrel (Gray, Black, Fox)",Yes,"September 13 - February 28, 2025-2026; 6 daily bag limit"
Cottontail Rabbit,Yes,"November 1 - February 28, 2025-2026; 5 daily bag limit"
Snowshoe/Varying Hare,Yes,"November 1 - February 28, 2025-2026; 2 daily bag limit"
Waterfowl (Duck/Geese),Yes,"Multiple segments: Oct 4-12, Nov 8-16, Dec 21-Jan 31"
Mourning Dove,Yes,"Split season: Sept 1-Oct 12, Nov 3-16, Dec 8-Jan 10"
Woodcock,Yes,"October 18 - November 22, December 1-9 (split season)"
